Problem_Name,Original_Status,Original_Time,Original_Clausified_Status,Original_Clausified_Time,Variant_0_Status,Variant_0_Time,Variant_1_Status,Variant_1_Time,Variant_2_Status,Variant_2_Time,Variant_0_Original_Status,Variant_0_Original_Time,Variant_1_Original_Status,Variant_1_Original_Time,Variant_2_Original_Status,Variant_2_Original_Time
GRP123-1.005,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.06,N/A,N/A,TIMEOUT,60.05,TIMEOUT,60.05,N/A,N/A,TIMEOUT,60.05
GRP441-1,PROVED,3.48,PROVED,3.48,PROVED,1.92,PROVED,1.91,PROVED,0.05,PROVED,1.86,PROVED,1.91,PROVED,0.06
GRP657-10,PROVED,0.02,PROVED,0.02,PROVED,0.03,N/A,N/A,PROVED,0.02,PROVED,0.03,N/A,N/A,PROVED,0.02
GRP654+1,TIMEOUT,60.04,TIMEOUT,60.04,N/A,N/A,TIMEOUT,60.04,TIMEOUT,60.04,N/A,N/A,TIMEOUT,60.04,TIMEOUT,60.04
GRP660-13,PROVED,3.28,PROVED,3.28,PROVED,3.48,PROVED,3.12,N/A,N/A,PROVED,3.50,PROVED,3.10,N/A,N/A
GRP600-1,PROVED,0.07,PROVED,0.07,N/A,N/A,PROVED,0.01,PROVED,0.02,N/A,N/A,PROVED,0.01,PROVED,0.01
GRP680-1,PROVED,0.18,PROVED,0.18,PROVED,0.04,N/A,N/A,PROVED,0.21,PROVED,0.03,N/A,N/A,PROVED,0.22
GRP812+1,TIMEOUT,60.27,TIMEOUT,60.26,TIMEOUT,60.23,TIMEOUT,60.23,TIMEOUT,60.29,TIMEOUT,60.23,TIMEOUT,60.23,TIMEOUT,60.29
GRP107-1,PROVED,2.45,PROVED,2.45,PROVED,0.15,PROVED,0.79,PROVED,0.15,PROVED,3.02,PROVED,0.74,PROVED,0.53
GRP488-1,PROVED,0.02,PROVED,0.02,PROVED,0.04,PROVED,0.04,PROVED,0.03,PROVED,0.03,PROVED,0.04,PROVED,0.04
GRP729-1,PROVED,1.88,PROVED,1.87,PROVED,1.85,PROVED,3.89,PROVED,4.49,PROVED,1.85,PROVED,3.89,PROVED,4.47
GRP777+1,PROVED,22.30,PROVED,20.56,PROVED,39.14,TIMEOUT,60.06,PROVED,58.85,PROVED,39.43,TIMEOUT,60.06,PROVED,57.63
GRP029-2,TIMEOUT,60.04,TIMEOUT,60.03,TIMEOUT,60.04,TIMEOUT,60.04,PROVED,0.01,TIMEOUT,60.04,TIMEOUT,60.04,PROVED,0.01
GRP666+6,TIMEOUT,60.03,TIMEOUT,60.03,N/A,N/A,N/A,N/A,TIMEOUT,60.03,N/A,N/A,N/A,N/A,TIMEOUT,60.03
GRP667-4,PROVED,38.68,PROVED,38.94,PROVED,44.27,PROVED,34.92,PROVED,43.81,PROVED,44.46,PROVED,35.52,PROVED,43.94
GRP769-1,PROVED,11.28,PROVED,11.36,PROVED,9.07,PROVED,9.70,PROVED,10.34,PROVED,9.06,PROVED,9.67,PROVED,10.47
GRP523-1,PROVED,0.25,PROVED,0.27,PROVED,0.23,PROVED,0.11,PROVED,0.64,PROVED,0.30,PROVED,0.08,PROVED,0.61
GRP444-1,PROVED,4.35,PROVED,4.36,PROVED,0.27,PROVED,0.34,PROVED,0.26,PROVED,0.27,PROVED,0.34,PROVED,0.26
GRP124-1.005,TIMEOUT,60.05,TIMEOUT,60.05,N/A,N/A,TIMEOUT,60.04,N/A,N/A,N/A,N/A,TIMEOUT,60.04,N/A,N/A
GRP731-1,PROVED,4.07,PROVED,4.00,PROVED,3.85,PROVED,3.37,PROVED,6.52,PROVED,3.82,PROVED,3.38,PROVED,6.54
GRP639+1,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02
GRP408-1,PROVED,3.56,PROVED,3.55,N/A,N/A,PROVED,0.04,N/A,N/A,N/A,N/A,PROVED,0.03,N/A,N/A
GRP124-9.005,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05
GRP692-1,TIMEOUT,60.17,TIMEOUT,60.16,TIMEOUT,60.13,TIMEOUT,60.16,TIMEOUT,60.17,TIMEOUT,60.13,TIMEOUT,60.16,TIMEOUT,60.16
GRP529-1,PROVED,0.02,PROVED,0.02,PROVED,0.01,PROVED,0.01,PROVED,0.02,PROVED,0.01,PROVED,0.01,PROVED,0.02
GRP720+1,TIMEOUT,60.11,TIMEOUT,60.11,TIMEOUT,60.12,TIMEOUT,60.16,TIMEOUT,60.10,TIMEOUT,60.12,TIMEOUT,60.15,TIMEOUT,60.10
GRP201-1,PROVED,8.44,PROVED,8.46,PROVED,5.67,PROVED,14.81,PROVED,5.28,PROVED,5.65,PROVED,14.71,PROVED,5.26
GRP528-1,PROVED,0.01,PROVED,0.01,N/A,N/A,PROVED,0.02,PROVED,0.10,N/A,N/A,PROVED,0.03,PROVED,0.02
GRP674+1,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05
GRP766-1,PROVED,44.17,PROVED,44.31,PROVED,42.33,PROVED,45.15,PROVED,51.94,PROVED,42.37,PROVED,44.92,PROVED,52.00
GRP664-11,TIMEOUT,60.10,TIMEOUT,60.10,TIMEOUT,60.10,TIMEOUT,60.11,TIMEOUT,60.11,TIMEOUT,60.11,TIMEOUT,60.10,TIMEOUT,60.10
GRP557-1,PROVED,0.04,PROVED,0.04,PROVED,0.02,PROVED,0.03,PROVED,0.02,PROVED,0.02,PROVED,0.03,PROVED,0.01
GRP698-1,PROVED,15.17,PROVED,15.11,PROVED,12.52,PROVED,15.33,PROVED,11.70,PROVED,12.71,PROVED,6.80,PROVED,11.42
GRP660+3,PROVED,2.06,PROVED,2.06,PROVED,1.10,PROVED,2.05,N/A,N/A,PROVED,1.11,PROVED,2.10,N/A,N/A
