Problem_Name,Logs_Processed,Generated_Seeds_Total,Strict_Syntactically_Correct_Seeds,Strict_Syntactic_Quality_Rate,Entailed_Seeds_From_Strict,Entailment_Rate_Given_Strict_Syntax,Post_Parse_Failures,Entailment_SyntaxOrType_Failures,Entailment_Timeout_Failures,Entailment_SAT_Not_Entailed,Entailment_Other_Failures
GRP001+6,1,15,10,0.6667,0,0.0000,0,5,0,0,10
GRP001-4,1,15,14,0.9333,14,1.0000,0,1,0,0,0
GRP001-5,1,15,13,0.8667,13,1.0000,0,2,0,0,0
GRP001^5,1,15,0,0.0000,0,N/A,0,15,0,0,0
GRP002-10,1,15,13,0.8667,13,1.0000,0,2,0,0,0
GRP003-1,1,15,14,0.9333,11,0.7857,0,1,3,0,0
GRP004-1,1,15,15,1.0000,14,0.9333,0,0,1,0,0
GRP005-1,1,15,15,1.0000,13,0.8667,0,0,2,0,0
GRP006-1,1,15,15,1.0000,15,1.0000,0,0,0,0,0
GRP010-4,1,15,15,1.0000,15,1.0000,0,0,0,0,0
GRP011-4,1,15,14,0.9333,14,1.0000,0,1,0,0,0
GRP012+5,1,15,13,0.8667,0,0.0000,0,2,0,0,13
GRP014-1,1,15,13,0.8667,11,0.8462,0,2,2,0,0
GRP025-3,1,15,13,0.8667,13,1.0000,1,1,0,0,0
GRP026-3,1,15,15,1.0000,15,1.0000,0,0,0,0,0
GRP027-2,1,15,9,0.6000,8,0.8889,0,6,1,0,0
GRP028-1,1,15,10,0.6667,10,1.0000,0,5,0,0,0
GRP028-3,1,15,15,1.0000,12,0.8000,0,0,3,0,0
GRP028-4,1,15,11,0.7333,10,0.9091,0,4,1,0,0
GRP029-2,1,15,14,0.9333,14,1.0000,0,1,0,0,0
GRP031-2,1,15,10,0.6667,10,1.0000,0,5,0,0,0
GRP033-3,1,15,15,1.0000,15,1.0000,0,0,0,0,0
GRP034-4,1,15,14,0.9333,14,1.0000,1,0,0,0,0
GRP039-6,1,15,10,0.6667,7,0.7000,0,5,3,0,0
GRP048-10,1,15,7,0.4667,7,1.0000,0,8,0,0,0
GRP049-1,1,15,10,0.6667,0,0.0000,0,5,10,0,0
GRP050-1,1,15,12,0.8000,9,0.7500,0,3,3,0,0
GRP051-1,1,15,14,0.9333,9,0.6429,0,1,5,0,0
GRP052-1,1,15,15,1.0000,8,0.5333,0,0,7,0,0
GRP053-1,1,15,15,1.0000,10,0.6667,0,0,5,0,0
GRP054-1,1,15,14,0.9333,9,0.6429,0,1,5,0,0
GRP055-1,1,15,15,1.0000,14,0.9333,0,0,1,0,0
GRP056-1,1,15,14,0.9333,13,0.9286,0,1,1,0,0
GRP057-1,1,15,15,1.0000,12,0.8000,0,0,3,0,0
GRP058-1,1,15,13,0.8667,7,0.5385,0,2,6,0,0
GRP059-1,1,15,14,0.9333,12,0.8571,0,1,2,0,0
GRP060-1,1,15,5,0.3333,5,1.0000,0,10,0,0,0
GRP061-1,1,15,13,0.8667,13,1.0000,0,2,0,0,0
GRP062-1,1,15,14,0.9333,11,0.7857,0,1,3,0,0
GRP063-1,1,15,9,0.6000,9,1.0000,0,6,0,0,0
GRP064-1,1,15,5,0.3333,3,0.6000,0,10,2,0,0
GRP065-1,1,15,15,1.0000,15,1.0000,0,0,0,0,0
GRP066-1,1,15,15,1.0000,8,0.5333,0,0,7,0,0
GRP067-1,1,15,14,0.9333,10,0.7143,0,1,4,0,0
GRP068-1,1,15,13,0.8667,10,0.7692,0,2,3,0,0
GRP069-1,1,15,14,0.9333,8,0.5714,0,1,6,0,0
GRP070-1,1,15,13,0.8667,2,0.1538,0,2,11,0,0
GRP071-1,1,15,15,1.0000,8,0.5333,0,0,7,0,0
