Problem_Name,Original_Status,Original_Time,Original_Clausified_Status,Original_Clausified_Time,Variant_0_Status,Variant_0_Time,Variant_1_Status,Variant_1_Time,Variant_2_Status,Variant_2_Time,Variant_0_Original_Status,Variant_0_Original_Time,Variant_1_Original_Status,Variant_1_Original_Time,Variant_2_Original_Status,Variant_2_Original_Time
GRP441-1,PROVED,5.02,PROVED,4.91,PROVED,0.01,PROVED,0.10,PROVED,0.01,PROVED,0.01,PROVED,0.10,PROVED,0.01
GRP629+1,TIMEOUT,60.05,TIMEOUT,60.05,UNKNOWN,60.04,TIMEOUT,60.06,TIMEOUT,60.06,TIMEOUT,60.06,TIMEOUT,60.06,UNKNOWN,60.08
GRP444-1,PROVED,4.72,PROVED,5.52,PROVED,0.01,PROVED,0.01,PROVED,4.54,PROVED,0.01,PROVED,0.01,PROVED,4.51
GRP529-1,PROVED,0.01,PROVED,0.01,PROVED,0.02,PROVED,0.01,PROVED,0.01,PROVED,0.02,PROVED,0.01,PROVED,0.01
GRP201-1,PROVED,44.14,PROVED,45.49,TIMEOUT,60.06,PROVED,44.61,TIMEOUT,60.06,TIMEOUT,60.06,PROVED,44.27,TIMEOUT,60.06
GRP766-1,PROVED,8.23,PROVED,8.34,PROVED,6.45,PROVED,22.51,PROVED,22.34,PROVED,6.99,PROVED,22.09,PROVED,22.13
GRP557-1,PROVED,0.04,PROVED,0.04,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.03,PROVED,0.02
GRP001-4,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP124-3.005,UNKNOWN,59.87,UNKNOWN,60.05,UNKNOWN,60.03,UNKNOWN,60.03,UNKNOWN,60.03,TIMEOUT,60.02,TIMEOUT,60.03,TIMEOUT,60.03
GRP757+1,UNKNOWN,60.00,UNKNOWN,59.46,TIMEOUT,60.02,TIMEOUT,60.02,TIMEOUT,60.02,TIMEOUT,60.02,UNKNOWN,59.61,TIMEOUT,60.02
GRP561-1,PROVED,0.02,PROVED,0.02,PROVED,0.02,PROVED,0.03,PROVED,0.01,PROVED,0.03,PROVED,0.02,PROVED,0.01
GRP426-1,PROVED,0.45,PROVED,0.49,UNKNOWN,0.01,PROVED,0.01,PROVED,54.93,UNKNOWN,0.01,PROVED,0.01,PROVED,58.74
GRP202-1,TIMEOUT,60.07,TIMEOUT,60.07,TIMEOUT,60.07,TIMEOUT,60.06,PROVED,46.81,TIMEOUT,60.06,TIMEOUT,60.06,PROVED,44.82
GRP495-1,PROVED,0.08,PROVED,0.12,PROVED,0.09,PROVED,0.08,PROVED,0.12,PROVED,0.08,PROVED,0.08,PROVED,0.09
GRP064-1,PROVED,0.16,PROVED,0.12,PROVED,0.16,PROVED,0.11,PROVED,0.10,PROVED,0.18,PROVED,0.11,PROVED,0.14
GRP476-1,PROVED,0.74,PROVED,0.71,N/A,N/A,PROVED,2.21,PROVED,2.17,N/A,N/A,PROVED,2.13,PROVED,2.14
GRP744-1,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.09,TIMEOUT,60.08,TIMEOUT,60.09,TIMEOUT,60.08
GRP124-4.005,UNKNOWN,60.06,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.05
GRP499-1,PROVED,5.81,PROVED,5.80,PROVED,0.02,PROVED,0.07,PROVED,0.45,PROVED,0.02,PROVED,0.07,PROVED,0.54
GRP461-1,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP547-1,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP674-11,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.09,TIMEOUT,60.08,TIMEOUT,60.09,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.09
GRP589-1,PROVED,0.02,PROVED,0.03,PROVED,0.03,PROVED,0.03,PROVED,0.03,PROVED,0.02,PROVED,0.02,PROVED,0.03
GRP065-1,PROVED,0.06,PROVED,0.15,PROVED,0.15,PROVED,0.04,PROVED,0.08,PROVED,0.05,PROVED,0.07,PROVED,0.06
GRP638+1,PROVED,31.68,PROVED,20.17,PROVED,20.30,PROVED,20.48,PROVED,21.45,PROVED,30.95,PROVED,31.69,PROVED,31.66
GRP453-1,PROVED,0.23,PROVED,0.16,PROVED,0.15,PROVED,31.10,PROVED,0.16,PROVED,0.15,PROVED,31.22,PROVED,0.23
GRP765-1,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08,TIMEOUT,60.08
GRP123-9.004,TIMEOUT,60.04,UNKNOWN,60.06,UNKNOWN,60.07,UNKNOWN,59.97,UNKNOWN,60.03,TIMEOUT,60.04,UNKNOWN,60.05,TIMEOUT,60.04
GRP567-1,TIMEOUT,60.10,PROVED,0.68,PROVED,15.29,PROVED,0.11,PROVED,0.30,PROVED,36.40,PROVED,0.15,PROVED,0.28
GRP129-4.004,PROVED,25.81,PROVED,28.69,PROVED,36.44,PROVED,36.45,PROVED,0.04,PROVED,26.48,PROVED,26.50,PROVED,0.26
GRP516-1,PROVED,0.02,PROVED,0.02,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP655+3,TIMEOUT,60.03,TIMEOUT,60.03,TIMEOUT,60.03,N/A,N/A,TIMEOUT,60.03,TIMEOUT,60.02,N/A,N/A,TIMEOUT,60.03
GRP057-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRP663-1,TIMEOUT,60.12,TIMEOUT,60.12,TIMEOUT,60.12,TIMEOUT,60.12,TIMEOUT,60.10,TIMEOUT,60.11,TIMEOUT,60.12,TIMEOUT,60.10
GRP126-1.005,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,UNKNOWN,60.02,TIMEOUT,60.04
GRP104-1,PROVED,0.10,PROVED,25.94,PROVED,0.05,PROVED,0.06,PROVED,1.84,PROVED,0.03,PROVED,0.05,PROVED,0.03
GRP432-1,PROVED,2.70,PROVED,2.80,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP451-1,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP082-1,PROVED,6.84,PROVED,6.95,PROVED,0.28,PROVED,0.78,PROVED,0.28,PROVED,0.08,PROVED,0.69,PROVED,0.11
GRP204-1,TIMEOUT,60.10,TIMEOUT,60.10,TIMEOUT,60.09,TIMEOUT,60.10,TIMEOUT,60.09,TIMEOUT,60.09,TIMEOUT,60.10,TIMEOUT,60.09
GRP802+1,TIMEOUT,60.17,TIMEOUT,60.17,TIMEOUT,60.17,TIMEOUT,60.17,TIMEOUT,60.18,TIMEOUT,60.17,TIMEOUT,60.18,TIMEOUT,60.19
GRP126-2.004,PROVED,0.08,PROVED,0.10,PROVED,0.09,PROVED,0.09,PROVED,0.04,PROVED,0.08,PROVED,0.09,PROVED,0.02
GRP527-1,PROVED,0.63,PROVED,0.62,PROVED,0.26,PROVED,0.01,PROVED,0.01,PROVED,0.24,PROVED,0.01,PROVED,0.01
GRP664-10,TIMEOUT,60.13,TIMEOUT,60.13,TIMEOUT,60.13,TIMEOUT,60.12,TIMEOUT,60.13,TIMEOUT,60.12,TIMEOUT,60.13,TIMEOUT,60.13
