Problem_Name,Original_Status,Original_Time,Original_Clausified_Status,Original_Clausified_Time,Variant_0_Status,Variant_0_Time,Variant_1_Status,Variant_1_Time,Variant_2_Status,Variant_2_Time,Variant_0_Original_Status,Variant_0_Original_Time,Variant_1_Original_Status,Variant_1_Original_Time,Variant_2_Original_Status,Variant_2_Original_Time
GRP441-1,PROVED,3.55,PROVED,3.57,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP629+1,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15,TIMEOUT,60.15
GRP444-1,PROVED,4.36,PROVED,4.34,PROVED,0.01,PROVED,0.06,PROVED,0.04,PROVED,0.01,PROVED,0.09,PROVED,0.04
GRP529-1,PROVED,0.02,PROVED,0.02,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP201-1,PROVED,8.83,PROVED,8.79,PROVED,1.12,PROVED,9.16,PROVED,7.52,PROVED,1.13,PROVED,9.10,PROVED,7.61
GRP766-1,PROVED,45.19,PROVED,44.87,PROVED,45.99,N/A,N/A,PROVED,44.29,PROVED,45.93,N/A,N/A,PROVED,44.74
GRP557-1,PROVED,0.02,PROVED,0.02,N/A,N/A,PROVED,0.01,PROVED,0.01,N/A,N/A,PROVED,0.01,PROVED,0.01
GRP001-4,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
GRP124-3.005,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.06,TIMEOUT,60.06,TIMEOUT,60.06,TIMEOUT,60.06,TIMEOUT,60.04
GRP757+1,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.04
GRP561-1,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.02,PROVED,0.01,PROVED,0.01
GRP426-1,PROVED,3.61,PROVED,3.61,PROVED,1.04,PROVED,0.01,PROVED,1.02,PROVED,1.03,PROVED,0.01,PROVED,1.01
GRP202-1,PROVED,10.43,PROVED,10.54,PROVED,18.34,PROVED,10.60,PROVED,8.66,PROVED,17.11,PROVED,10.75,PROVED,8.56
GRP495-1,PROVED,0.16,PROVED,0.17,PROVED,2.03,PROVED,0.17,PROVED,0.77,PROVED,1.51,PROVED,0.16,PROVED,0.73
GRP064-1,PROVED,0.92,PROVED,0.87,PROVED,0.07,PROVED,9.24,PROVED,0.86,PROVED,0.07,PROVED,9.66,PROVED,0.87
GRP476-1,PROVED,0.32,PROVED,0.32,PROVED,0.33,N/A,N/A,PROVED,2.28,PROVED,0.33,N/A,N/A,PROVED,2.24
GRP744-1,TIMEOUT,60.07,TIMEOUT,60.08,TIMEOUT,60.03,N/A,N/A,TIMEOUT,60.10,TIMEOUT,60.03,N/A,N/A,TIMEOUT,60.09
GRP124-4.005,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.04,TIMEOUT,60.05,TIMEOUT,60.05
GRP499-1,PROVED,3.08,PROVED,3.06,PROVED,0.15,PROVED,0.20,PROVED,2.03,PROVED,0.14,PROVED,0.13,PROVED,2.11
GRP461-1,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01,PROVED,0.01
